,Pressure,Pumping Speed (L/min)
ESA100W,0.281,8830
ESA100W,0.539,9550
ESA100W,0.812,9730
ESA100W,1.25,9820
ESA100W,1.5,9910
ESA100W,1.81,10000
ESA100W,2.45,10000
ESA100W,3.02,10000
ESA100W,4.09,10000
ESA100W,6.83,9770
ESA100W,9.39,9640
ESA100W,14.5,9330
ESA100W,18,9200
ESA100W,20.5,9120
ESA100W,23.3,9040
ESA100W,26.3,8870
ESA100W,26.3,2830
ESA100W,40.6,2880
ESA100W,59.4,2880
ESA100W,73.1,2860
ESA100W,105,2710
ESA100W,201,2310
ESA100W,361,2050
ESA100W,429,1950
ESA100W,534,1860
ESA100W,760,1700
ESA100WN,0.00203,0.1
ESA100WN,0.00263,400
ESA100WN,0.0042,1440
ESA100WN,0.0092,2460
ESA100WN,0.026,4290
ESA100WN,0.0518,5980
ESA100WN,0.13,7960
ESA100WN,0.168,8320
ESA100WN,0.281,8830
ESA100WN,0.281,8830
ESA100WN,0.539,9550
ESA100WN,0.812,9730
ESA100WN,1.25,9820
ESA100WN,1.5,9910
ESA100WN,1.81,10000
ESA100WN,2.45,10000
ESA100WN,3.02,10000
ESA100WN,4.09,10000
ESA100WN,6.83,9770
ESA100WN,9.39,9640
ESA100WN,14.5,9330
ESA100WN,18,9200
ESA100WN,20.5,9120
ESA100WN,22.5,9060
ESA100WN,22.5,2790
ESA100WN,23.9,2820
ESA100WN,40.6,2880
ESA100WN,59.4,2880
ESA100WN,73.1,2860
ESA100WN,105,2710
ESA100WN,201,2310
ESA100WN,361,2050
ESA100WN,429,1950
ESA100WN,534,1860
ESA100WN,760,1700
ESA15N,3.98,1
ESA15N,4.13,39.3
ESA15N,4.28,179
ESA15N,4.65,321
ESA15N,12,1170
ESA15N,25,1520
ESA15N,48.2,1580
ESA15N,96.8,1570
ESA15N,162,1410
ESA15N,277,1370
ESA15N,760,1300
ESA200W,0.00398,1
ESA200W,0.00525,5000
ESA200W,0.00788,8000
ESA200W,0.02,14800
ESA200W,0.04,17800
ESA200W,0.0704,17400
ESA200W,0.1,17900
ESA200W,0.2,19200
ESA200W,0.4,20200
ESA200W,0.7,20900
ESA200W,1,18800
ESA200W,2,17900
ESA200W,4.01,17100
ESA200W,7.04,16600
ESA200W,10,14300
ESA200W,19.8,9890
ESA200W,39.9,6360
ESA200W,70.3,4530
ESA200W,99.6,3740
ESA200W,200,2840
ESA200W,394,2370
ESA200W,600,2090
ESA200W,760,2000
ESA220W,0.00398,1.21
ESA220W,0.00525,6050
ESA220W,0.00788,9680
ESA220W,0.02,17900
ESA220W,0.04,21600
ESA220W,0.0704,21000
ESA220W,0.1,21700
ESA220W,0.2,23300
ESA220W,0.4,24400
ESA220W,0.7,25200
ESA220W,1,22700
ESA220W,2,21700
ESA220W,4.01,20700
ESA220W,7.04,20000
ESA220W,10,17300
ESA220W,19.8,12000
ESA220W,39.9,7690
ESA220W,70.3,5480
ESA220W,99.6,4530
ESA220W,200,3440
ESA220W,394,2870
ESA220W,600,2520
ESA220W,760,2420
ESA25,0.04,60
ESA25,0.045,330
ESA25,0.05,500
ESA25,0.06,950
ESA25,0.07,1120
ESA25,0.08,1250
ESA25,0.09,1370
ESA25,0.1,1480
ESA25,0.15,1760
ESA25,0.2,1950
ESA25,0.3,2130
ESA25,0.5,2300
ESA25,0.7,2400
ESA25,1,2450
ESA25,2,2500
ESA25,3,2500
ESA25,5,2500
ESA25,10,2450
ESA25,20,2380
ESA25,30,2350
ESA25,50,2250
ESA25,70,2220
ESA25,100,2200
ESA25,200,2100
ESA25,300,1980
ESA25,500,1850
ESA25,760,1750
ESA25D,0.04,60
ESA25D,0.045,330
ESA25D,0.05,500
ESA25D,0.06,948
ESA25D,0.07,1120
ESA25D,0.08,1250
ESA25D,0.09,1370
ESA25D,0.1,1480
ESA25D,0.15,1760
ESA25D,0.2,1950
ESA25D,0.3,2130
ESA25D,0.5,2300
ESA25D,0.7,2400
ESA25D,1,2450
ESA25D,2,2500
ESA25D,3,2500
ESA25D,5,2500
ESA25D,10,2450
ESA25D,20,2380
ESA25D,30,2350
ESA25D,50,2250
ESA25D,70,2220
ESA25D,100,2200
ESA25D,200,2100
ESA25D,300,1980
ESA25D,500,1850
ESA25D,760,1750
ESA25XW - H2,10,6080
ESA25XW - H2,17.5,5210
ESA25XW - H2,26,4680
ESA25XW - H2,36,4220
ESA25XW - H2,44,3970
ESA25XW - H2,51.9,3810
ESA25XW - H2,63,3620
ESA25XW - H2,75,3450
ESA25XW - H2,88,3280
ESA25XW - H2,100,3190
ESA25XW,0.03,50
ESA25XW,0.031,83.3
ESA25XW,0.033,125
ESA25XW,0.035,200
ESA25XW,0.04,433
ESA25XW,0.045,833
ESA25XW,0.05,1330
ESA25XW,0.055,1750
ESA25XW,0.06,2050
ESA25XW,0.07,2450
ESA25XW,0.08,2750
ESA25XW,0.1,3220
ESA25XW,0.15,3830
ESA25XW,0.2,4170
ESA25XW,0.3,4500
ESA25XW,0.4,4720
ESA25XW,0.5,4830
ESA25XW,0.7,4950
ESA25XW,1,4980
ESA25XW,2,5000
ESA25XW,3,5000
ESA25XW,5,5000
ESA25XW,7,4980
ESA25XW,10,4950
ESA25XW,20,4920
ESA25XW,50,4800
ESA25XW,100,4670
ESA25XW,200,4470
ESA25XW,300,4300
ESA25XW,500,4080
ESA25XW,760,3920
ESA300W,0.00398,1
ESA300W,0.00444,4150
ESA300W,0.006,10500
ESA300W,0.00701,11500
ESA300W,0.00998,13500
ESA300W,0.02,17600
ESA300W,0.0401,21000
ESA300W,0.07,23500
ESA300W,0.0998,24600
ESA300W,0.2,27100
ESA300W,0.4,28000
ESA300W,0.55,28000
ESA300W,0.7,28000
ESA300W,0.998,27500
ESA300W,2,25900
ESA300W,4,24800
ESA300W,7.01,23800
ESA300W,10.1,21500
ESA300W,20,14200
ESA300W,40.1,9780
ESA300W,70.5,7600
ESA300W,101,6810
ESA300W,200,5320
ESA300W,259,4880
ESA300W,675,4500
ESA300W,760,4000
ESA500W,0.00675,0.1
ESA500W,0.00873,2260
ESA500W,0.00971,12200
ESA500W,0.01,17800
ESA500W,0.0201,31800
ESA500W,0.04,38500
ESA500W,0.0702,44800
ESA500W,0.1,47900
ESA500W,0.201,47600
ESA500W,0.401,46700
ESA500W,0.702,43800
ESA500W,1.01,42900
ESA500W,2.03,40300
ESA500W,4.02,39700
ESA500W,7.08,35800
ESA500W,10,32300
ESA500W,20.5,24100
ESA500W,40.4,17700
ESA500W,70.6,13600
ESA500W,100,11700
ESA500W,203,9440
ESA500W,400,8180
ESA500W,636,7740
ESA500W,760,7740
ESA500W-SE,0.0225,1
ESA500W-SE,0.03,18500
ESA500W-SE,0.0405,28700
ESA500W-SE,0.0698,34700
ESA500W-SE,0.102,37400
ESA500W-SE,0.201,41300
ESA500W-SE,0.401,43700
ESA500W-SE,0.702,42200
ESA500W-SE,1.03,42200
ESA500W-SE,2.09,40300
ESA500W-SE,4.08,36000
ESA500W-SE,5.82,32000
ESA500W-SE,10.1,21000
ESA500W-SE,20,14200
ESA500W-SE,40.1,9780
ESA500W-SE,70.5,7600
ESA500W-SE,100,6810
ESA500W-SE,200,5320
ESA500W-SE,259,4880
ESA500W-SE,675,4500
ESA500W-SE,760,4450
ESA70W,0.002,1
ESA70W,0.0022,500
ESA70W,0.0026,1000
ESA70W,0.0036,2000
ESA70W,0.0064,3000
ESA70W,0.01,4000
ESA70W,0.02,5000
ESA70W,0.05,6000
ESA70W,0.1,6500
ESA70W,0.2,6800
ESA70W,0.5,7000
ESA70W,1,7000
ESA70W,2,7000
ESA70W,5,6600
ESA70W,10,6400
ESA70W,20,6000
ESA70W,30,5600
ESA70W,31,600
ESA70W,40,800
ESA70W,55,1000
ESA70W,100,1200
ESA70W,200,1300
ESA70W,500,1400
ESA70W,760,1400
ESA70W(60Hz),0.001,1
ESA70W(60Hz),0.00116,848
ESA70W(60Hz),0.00154,1540
ESA70W(60Hz),0.00204,2440
ESA70W(60Hz),0.00271,3000
ESA70W(60Hz),0.00359,3700
ESA70W(60Hz),0.00477,4400
ESA70W(60Hz),0.00632,5090
ESA70W(60Hz),0.00838,5630
ESA70W(60Hz),0.0111,6140
ESA70W(60Hz),0.0147,6540
ESA70W(60Hz),0.0195,6960
ESA70W(60Hz),0.0259,7180
ESA70W(60Hz),0.0343,7390
ESA70W(60Hz),0.0455,7570
ESA70W(60Hz),0.0604,7720
ESA70W(60Hz),0.08,7880
ESA70W(60Hz),0.106,8030
ESA70W(60Hz),0.141,8190
ESA70W(60Hz),0.187,8360
ESA70W(60Hz),0.247,8400
ESA70W(60Hz),0.328,8400
ESA70W(60Hz),0.435,8400
ESA70W(60Hz),0.577,8400
ESA70W(60Hz),0.765,8400
ESA70W(60Hz),1.01,8400
ESA70W(60Hz),1.34,8320
ESA70W(60Hz),1.78,8250
ESA70W(60Hz),2.36,8180
ESA70W(60Hz),3.13,8110
ESA70W(60Hz),4.15,8050
ESA70W(60Hz),5.51,7930
ESA70W(60Hz),7.3,7710
ESA70W(60Hz),9.69,7510
ESA70W(60Hz),12.8,7310
ESA70W(60Hz),17,7110
ESA70W(60Hz),22.6,6940
ESA70W(60Hz),29.9,6800
ESA70W(60Hz),39.7,916
ESA70W(60Hz),52.6,1120
ESA70W(60Hz),69.8,1300
ESA70W(60Hz),92.5,1430
ESA70W(60Hz),123,1490
ESA70W(60Hz),163,1550
ESA70W(60Hz),216,1610
ESA70W(60Hz),286,1630
ESA70W(60Hz),379,1660
ESA70W(60Hz),503,1680
ESA70W(60Hz),667,1690
ESA70W(60Hz),760,1700
ESA70W(N),0.004,12.5
ESA70W(N),0.00593,1300
ESA70W(N),0.0116,2740
ESA70W(N),0.0229,3990
ESA70W(N),0.045,5270
ESA70W(N),0.0883,6030
ESA70W(N),0.174,6570
ESA70W(N),0.341,6890
ESA70W(N),0.67,7010
ESA70W(N),1.32,7010
ESA70W(N),2.58,6990
ESA70W(N),5.08,6940
ESA70W(N),9.97,6870
ESA70W(N),19.6,6770
ESA70W(N),38.5,848
ESA70W(N),75.6,1220
ESA70W(N),149,1390
ESA70W(N),292,1450
ESA70W(N),573,1460
ESA70W(N),760,1460
ESA70W(N)-60Hz,760,1630
ESA70W(N)-60Hz,500,1670
ESA70W(N)-60Hz,300,1680
ESA70W(N)-60Hz,200,1620
ESA70W(N)-60Hz,100,1450
ESA70W(N)-60Hz,90,1400
ESA70W(N)-60Hz,80,1350
ESA70W(N)-60Hz,70,1300
ESA70W(N)-60Hz,60,1200
ESA70W(N)-60Hz,50,1100
ESA70W(N)-60Hz,40,960
ESA70W(N)-60Hz,30,770
ESA70W(N)-60Hz,30,6600
ESA70W(N)-60Hz,20,6900
ESA70W(N)-60Hz,10,7400
ESA70W(N)-60Hz,5,7800
ESA70W(N)-60Hz,3,8000
ESA70W(N)-60Hz,2,8200
ESA70W(N)-60Hz,1,8300
ESA70W(N)-60Hz,0.5,8200
ESA70W(N)-60Hz,0.3,8000
ESA70W(N)-60Hz,0.2,7700
ESA70W(N)-60Hz,0.15,7420
ESA70W(N)-60Hz,0.1,7000
ESA70W(N)-60Hz,0.07,6600
ESA70W(N)-60Hz,0.05,6000
ESA70W(N)-60Hz,0.03,5200
ESA70W(N)-60Hz,0.02,4400
ESA70W(N)-60Hz,0.015,3900
ESA70W(N)-60Hz,0.01,3000
ESA70W(N)-60Hz,0.009,2800
ESA70W(N)-60Hz,0.008,2550
ESA70W(N)-60Hz,0.007,2300
ESA70W(N)-60Hz,0.006,2000
ESA70W(N)-60Hz,0.005,1700
ESA70W(N)-60Hz,0.004,1350
ESA70W(N)-60Hz,0.003,940
ESA70W(N)-60Hz,0.002,450
ESA70W(N)-60Hz,0.001,33
ESA80W-HDF,0.00098,1
ESA80W-HDF,0.001,33
ESA80W-HDF,0.0015,240
ESA80W-HDF,0.002,450
ESA80W-HDF,0.0025,730
ESA80W-HDF,0.0035,1150
ESA80W-HDF,0.005,1700
ESA80W-HDF,0.007,2300
ESA80W-HDF,0.01,3000
ESA80W-HDF,0.015,3900
ESA80W-HDF,0.02,4400
ESA80W-HDF,0.03,5200
ESA80W-HDF,0.05,6000
ESA80W-HDF,0.07,6600
ESA80W-HDF,0.1,7000
ESA80W-HDF,0.15,7420
ESA80W-HDF,0.2,7700
ESA80W-HDF,0.3,8000
ESA80W-HDF,0.5,8200
ESA80W-HDF,1,8300
ESA80W-HDF,2,8200
ESA80W-HDF,3,8000
ESA80W-HDF,5,7800
ESA80W-HDF,10,7400
ESA80W-HDF,20,6900
ESA80W-HDF,30,6600
ESA80W-HDF,34.5,6490
ESA80W-HDF,40,960
ESA80W-HDF,50,1100
ESA80W-HDF,60,1200
ESA80W-HDF,80,1350
ESA80W-HDF,100,1450
ESA80W-HDF,200,1620
ESA80W-HDF,300,1680
ESA80W-HDF,500,1670
ESA80W-HDF,760,1630
ESA80WN-HDF_H2,2.0098,7562.94535
ESA80WN-HDF_H2,4.10959,7397.33341
ESA80WN-HDF_H2,6.38936,7136.86392
ESA80WN-HDF_H2,8.9891,6763.74645
ESA80WN-HDF_H2,12.06879,6297.23287
ESA80WN-HDF_H2,15.71843,5802.10693
ESA80WN-HDF_H2,19.92801,5339.21932
ESA80WN-HDF_H2,24.64754,4933.55624
ESA80WN-HDF_H2,29.74703,4598.77921
ESA80WN-HDF_H2,34.9565,4348.26091
ESR100WN,0.0015,10
ESR100WN,0.0018,700
ESR100WN,0.003,1500
ESR100WN,0.00435,2030
ESR100WN,0.00735,2780
ESR100WN,0.0105,3220
ESR100WN,0.021,4300
ESR100WN,0.0413,5400
ESR100WN,0.0698,6500
ESR100WN,0.0998,7200
ESR100WN,0.2,8500
ESR100WN,0.398,9500
ESR100WN,0.698,9800
ESR100WN,0.998,10000
ESR100WN,2,9750
ESR100WN,3.99,9400
ESR100WN,6.98,8850
ESR100WN,9.98,7450
ESR100WN,12.8,6300
ESR100WN,18,4800
ESR100WN,20.9,4300
ESR100WN,30,3500
ESR100WN,50,2500
ESR100WN,200,600
ESR100WN,542,360
ESR100WN,745,320
ESR100WN,760,320
ESR200WN,0.00098,1
ESR200WN,0.0015,2500
ESR200WN,0.00203,3500
ESR200WN,0.00398,5000
ESR200WN,0.00698,6500
ESR200WN,0.00998,7500
ESR200WN,0.02,10500
ESR200WN,0.04,13200
ESR200WN,0.07,16400
ESR200WN,0.0998,18000
ESR200WN,0.2,19600
ESR200WN,0.4,20500
ESR200WN,0.7,20500
ESR200WN,0.998,18500
ESR200WN,2,16800
ESR200WN,4,13300
ESR200WN,7,8650
ESR200WN,9.98,6630
ESR200WN,20,4500
ESR200WN,40,3000
ESR200WN,70,2150
ESR200WN,99.8,1500
ESR200WN,200,600
ESR200WN,542,360
ESR200WN,745,320
ESR200WN,760,300
ESR201W-LT_BP5000rpm_MP4000rpm,0.001,1
ESR201W-LT_BP5000rpm_MP4000rpm,0.00101,10
ESR201W-LT_BP5000rpm_MP4000rpm,0.00113,1000
ESR201W-LT_BP5000rpm_MP4000rpm,0.00173,2800
ESR201W-LT_BP5000rpm_MP4000rpm,0.00225,4000
ESR201W-LT_BP5000rpm_MP4000rpm,0.003,5000
ESR201W-LT_BP5000rpm_MP4000rpm,0.00375,6500
ESR201W-LT_BP5000rpm_MP4000rpm,0.0045,7000
ESR201W-LT_BP5000rpm_MP4000rpm,0.006,8000
ESR201W-LT_BP5000rpm_MP4000rpm,0.00675,9000
ESR201W-LT_BP5000rpm_MP4000rpm,0.0075,9090
ESR201W-LT_BP5000rpm_MP4000rpm,0.0086,9600
ESR201W-LT_BP5000rpm_MP4000rpm,0.01,10200
ESR201W-LT_BP5000rpm_MP4000rpm,0.025,13300
ESR201W-LT_BP5000rpm_MP4000rpm,0.0451,15100
ESR201W-LT_BP5000rpm_MP4000rpm,0.0612,15200
ESR201W-LT_BP5000rpm_MP4000rpm,0.0805,16000
ESR201W-LT_BP5000rpm_MP4000rpm,0.1,16500
ESR201W-LT_BP5000rpm_MP4000rpm,0.206,17400
ESR201W-LT_BP5000rpm_MP4000rpm,0.402,17700
ESR201W-LT_BP5000rpm_MP4000rpm,0.702,18000
ESR201W-LT_BP5000rpm_MP4000rpm,1,17900
ESR201W-LT_BP5000rpm_MP4000rpm,2.08,15800
ESR201W-LT_BP5000rpm_MP4000rpm,4.04,14200
ESR201W-LT_BP5000rpm_MP4000rpm,5.17,13600
ESR201W-LT_BP5000rpm_MP4000rpm,7.08,13200
ESR201W-LT_BP5000rpm_MP4000rpm,10.1,12400
ESR201W-LT_BP5000rpm_MP4000rpm,15.8,10700
ESR201W-LT_BP5000rpm_MP4000rpm,26.1,7720
ESR201W-LT_BP5000rpm_MP4000rpm,40,6080
ESR201W-LT_BP5000rpm_MP4000rpm,69.7,4610
ESR201W-LT_BP5000rpm_MP4000rpm,101,3100
ESR201W-LT_BP5000rpm_MP4000rpm,252,1610
ESR201W-LT_BP5000rpm_MP4000rpm,404,1220
ESR201W-LT_BP5000rpm_MP4000rpm,599,1130
ESR201W-LT_BP5000rpm_MP4000rpm,734,1090
ESR201W-LT_BP5000rpm_MP4000rpm,760,1090
ESR20N,0.015,1
ESR20N,0.0225,100
ESR20N,0.0326,397
ESR20N,0.0596,817
ESR20N,0.0999,1130
ESR20N,0.2,1460
ESR20N,0.4,1710
ESR20N,0.699,1900
ESR20N,0.999,1950
ESR20N,2,2000
ESR20N,4,2000
ESR20N,6.99,2000
ESR20N,9.99,2000
ESR20N,20,2000
ESR20N,40,1890
ESR20N,69.9,1710
ESR20N,99.9,1640
ESR20N,200,561
ESR20N,400,414
ESR20N,738,317
ESR20N,760,300
ESR300WN,0.0015,1
ESR300WN,0.0017,5000
ESR300WN,0.00203,7020
ESR300WN,0.00413,11400
ESR300WN,0.00698,15000
ESR300WN,0.00998,17400
ESR300WN,0.02,23500
ESR300WN,0.07,28200
ESR300WN,0.1,29600
ESR300WN,0.2,32800
ESR300WN,0.4,34100
ESR300WN,2,27400
ESR300WN,4,20100
ESR300WN,7,15200
ESR300WN,10,11900
ESR300WN,20.3,6840
ESR300WN,40,4720
ESR300WN,70.4,3580
ESR300WN,101,2800
ESR300WN,200,1520
ESR300WN,400,979
ESR300WN,694,767
ESR300WN,760,700
ESR30N,0.005,1
ESR30N,0.00525,300
ESR30N,0.0074,800
ESR30N,0.0128,1210
ESR30N,0.0225,1610
ESR30N,0.041,2070
ESR30N,0.0776,2400
ESR30N,0.104,2530
ESR30N,0.214,2810
ESR30N,0.409,2900
ESR30N,0.77,3000
ESR30N,1,3100
ESR30N,2.03,3130
ESR30N,4.05,3260
